Freq,Burst,BurstBegin,BurstEnd,Degree,Centrality,Sigma,PageRank,Label,Author,Year,Title,Source,Vol,Page,Half-life,DOI,ClusterID
55,0.00,,,62,0.80,1.00,0.00,人工智能,,2017,,,,,,,
25,2.46,2016,2020,38,0.48,2.62,0.00,设计教育,,2016,,,,,,,
19,0.00,,,27,0.27,1.00,0.00,教学改革,,2018,,,,,,,
7,0.00,,,14,0.04,1.00,0.00,设计,,2018,,,,,,,
14,0.00,,,11,0.09,1.00,0.00,艺术设计,,2020,,,,,,,
5,0.00,,,9,0.08,1.00,0.00,工业设计,,2018,,,,,,,
4,0.00,,,8,0.10,1.00,0.00,交互设计,,2017,,,,,,,
3,0.00,,,7,0.01,1.00,0.00,数字化,,2024,,,,,,,
8,0.00,,,7,0.03,1.00,0.00,人才培养,,2018,,,,,,,
2,0.00,,,7,0.06,1.00,0.00,新文科,,2022,,,,,,,
3,0.00,,,7,0.05,1.00,0.00,产品设计,,2023,,,,,,,
3,0.00,,,6,0.01,1.00,0.00,大数据,,2020,,,,,,,
2,0.00,,,6,0.06,1.00,0.00,设计学,,2020,,,,,,,
2,0.00,,,6,0.01,1.00,0.00,创新,,2020,,,,,,,
2,0.00,,,5,0.00,1.00,0.00,包豪斯,,2017,,,,,,,
2,0.00,,,5,0.00,1.00,0.00,挑战,,2019,,,,,,,
2,0.00,,,5,0.01,1.00,0.00,知识图谱,,2024,,,,,,,
2,0.00,,,5,0.04,1.00,0.00,数字孪生,,2022,,,,,,,
2,0.00,,,5,0.00,1.00,0.00,教学模式,,2018,,,,,,,
3,0.00,,,5,0.04,1.00,0.00,设计思维,,2017,,,,,,,
2,0.00,,,5,0.00,1.00,0.00,机遇,,2019,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,生命科学,,2020,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,园林景观,,2024,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,设计类,,2021,,,,,,,
2,0.00,,,4,0.01,1.00,0.00,在线教育,,2020,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,新工科,,2018,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,室内设计,,2024,,,,,,,
2,0.00,,,4,0.08,1.00,0.00,应用策略,,2024,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,教学方法,,2018,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,环境设计,,2024,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,创新设计,,2018,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,培养,,2021,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,范式,,2022,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,路径,,2021,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,教育,,2021,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,艺科融合,,2021,,,,,,,
2,0.00,,,4,0.00,1.00,0.00,智能设计,,2018,,,,,,,
2,0.00,,,4,0.04,1.00,0.00,5g技术,,2023,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,跨学科,,2021,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,健康医疗,,2020,,,,,,,
1,0.00,,,4,0.00,1.00,0.00,社会服务,,2020,,,,,,,
1,0.00,,,3,0.00,1.00,0.00,价值观,,2018,,,,,,,
